"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 08 19:09:08 GMT 2024","Sun Sep 08 19:09:12 GMT 2024","4766","tests","test_login","TestLogin","","","Register User",""
"passed","Sun Sep 08 19:09:16 GMT 2024","Sun Sep 08 19:09:27 GMT 2024","11052","tests","test_place_order","TestPlaceOrder","","","Place Order: Register while Checkout",""
"passed","Sun Sep 08 19:09:03 GMT 2024","Sun Sep 08 19:09:05 GMT 2024","2392","tests","test_contact_form","TestContactForm","","","Contact us form",""
"passed","Sun Sep 08 19:09:18 GMT 2024","Sun Sep 08 19:09:20 GMT 2024","1444","tests","test_page_verification","TestPageVerification","","","Verify All Products and product detail page",""
"passed","Sun Sep 08 19:09:19 GMT 2024","Sun Sep 08 19:09:28 GMT 2024","8844","tests","test_place_order","TestPlaceOrder","","","Place Order: Register before Checkout",""
"passed","Sun Sep 08 19:09:03 GMT 2024","Sun Sep 08 19:09:09 GMT 2024","5595","tests","test_login","TestLogin","","","Login with valid credentials",""
"passed","Sun Sep 08 19:09:03 GMT 2024","Sun Sep 08 19:09:09 GMT 2024","5919","tests","test_cart_operations","TestCartOperations","","","Add Product to Cart",""
"passed","Sun Sep 08 19:09:29 GMT 2024","Sun Sep 08 19:09:29 GMT 2024","325","tests","test_subscription","TestSubscription","","","Verify Subscription in home page",""
"passed","Sun Sep 08 19:09:21 GMT 2024","Sun Sep 08 19:09:22 GMT 2024","1229","tests","test_page_verification","TestPageVerification","","","Search Product",""
"passed","Sun Sep 08 19:09:03 GMT 2024","Sun Sep 08 19:09:07 GMT 2024","4091","tests","test_login","TestLogin","","","Logout",""
"passed","Sun Sep 08 19:09:16 GMT 2024","Sun Sep 08 19:09:16 GMT 2024","489","tests","test_page_verification","TestPageVerification","","","Verify Test Cases Page",""
"passed","Sun Sep 08 19:09:10 GMT 2024","Sun Sep 08 19:09:15 GMT 2024","4978","tests","test_login","TestLogin","","","Register with existing email",""
"passed","Sun Sep 08 19:09:22 GMT 2024","Sun Sep 08 19:09:23 GMT 2024","679","tests","test_subscription","TestSubscription","","","Verify Subscription in cart page",""
"passed","Sun Sep 08 19:09:12 GMT 2024","Sun Sep 08 19:09:14 GMT 2024","2126","tests","test_cart_operations","TestCartOperations","","","Verify Product Quantity in Cart",""
"passed","Sun Sep 08 19:09:12 GMT 2024","Sun Sep 08 19:09:18 GMT 2024","5941","tests","test_login","TestLogin","","","Login with invalid credentials",""
